
A,U,D,I, ,1,0,0, ,(,4,3,",", ,C,2,),",", ,1,9,2,1, ,c,m,3,",", ,1,0,0, ,P,S,",", ,7,4, ,k,W,",", ,B,J,:, ,0,8,/,8,0, ,b,i,s, ,0,7,/,8,2
24.0113-0160.1,36.64,ATE
24.0122-0118.1,41.51,ATE
08.2794.14,28.36,BREMBO
09.5033.10,38.46,BREMBO
10210272,19.45,f.becker_line
08556,24.89,FEBI BILSTEIN
08554,26.29,FEBI BILSTEIN
100.1048.20,21.90,ZIMMERMANN
100.1048.52,42.40,ZIMMERMANN
0986478016,28.26,BOSCH
